artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
China Crisis,Diary: A Collection,Wishful Thinking,11HLyzoCyx8hXKXVmrg1Sy,0.67,0.512,-14.62,0.0335,0.0985,0.105
F.R. David,Words,Words - Original Version 1983,1HPJOoIVdUPuaebxzMrVaD,0.537,0.789,-5.578,0.0549,2.66e-05,0.138
Various Artists,Pinoy Soundtrip Vol. 2,Yakap,4APn3KpjfTpETBJ2GnaunN,0.604,0.556,-6.318,0.0235,1.73e-06,0.0791
Leo Sayer,Very Best Of Leo Sayer,You Make Me Feel Like Dancing - Remastered,1kuX1tb3QUKAalYEc4ai5t,0.746,0.677,-7.128,0.0369,5.08e-06,0.123
Santa Esmeralda,Hits Anthology,You're My Everything,7DBQS7rZFiJOdxoO0Mv8Av,0.458,0.705,-4.633,0.0305,0.0,0.256
Carly Simon,No Secrets,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,0.659,0.678,-8.18,0.0313,6.69e-06,0.0784
Yvonne Elliman,The Best Of Yvonne Elliman,If I Can't Have You,0QjPiq9Wka9I1b4uzWETYI,0.616,0.681,-10.773,0.0416,1.47e-06,0.296
Brian Hyland,Greatest Hits,Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,3Aug2RunJbjGiz2CTtWu5l,0.803,0.402,-13.233,0.0817,0.0,0.0271
Blondie,Once More Into The Bleach,Heart Of Glass - Remix,5Q8SPijJts3lV4fcmCrZXp,0.683,0.549,-11.771,0.0376,0.0195,0.0623
The Cardigans,First Band On The Moon,Lovefool - Radio Edit,0u4htORODiTK9vHVA89MQX,0.64,0.602,-7.902,0.0299,0.0,0.375
Rupert Holmes,Songs That Sound Like Movies: The Complete Epic Recordings,Touch and Go - Singles,66LwgTiXnRH6uoNb0A8gpt,0.533,0.606,-9.391,0.0302,0.0,0.0927
Michael Franks,The Best Of Michael Franks: A Backward Glance,The Lady Wants to Know,6bONRmrsyIp7jxx7JixxBF,0.656,0.465,-12.114,0.0241,0.03,0.0719
Astrud Gilberto,Beach Samba,I Had The Craziest Dream,54b5mwT6TbY8ANkfwRz0bY,0.716,0.576,-12.095,0.0308,0.00126,0.101
ABBA,Super Trouper,The Winner Takes It All,3oEkrIfXfSh9zGnE7eBzSV,0.454,0.788,-6.748,0.0371,0.000766,0.0859
ABBA,Abba,Mamma Mia,2TxCwUlqaOH3TIyJqGgR91,0.749,0.748,-7.011,0.0323,0.000443,0.469
ABBA,Voulez-Vous,Gimme! Gimme! Gimme! (A Man After Midnight),3vkQ5DAB1qQMYO4Mr9zJN6,0.749,0.491,-9.655,0.0403,0.00899,0.159
ABBA,Waterloo,Waterloo,0RzhMHIsFMbOGh0oWDvNNK,0.441,0.926,-4.736,0.046,3.38e-06,0.235
ABBA,ABBA Gold,Does Your Mother Know,45EaIq9lKyoQxxTjFkiGbl,0.703,0.824,-5.17,0.0364,9.19e-05,0.097
ABBA,Super Trouper,Super Trouper,2nMghZvtLx6DDgTEHEsb4w,0.764,0.626,-8.274,0.0288,6.35e-06,0.172
ABBA,Arrival,"Knowing Me, Knowing You",46ou4l4zvrZMada0TgoVH9,0.55,0.741,-7.109,0.0299,3.72e-06,0.235
ABBA,The Album,Take A Chance On Me,6vQN2a9QSgWcm74KEZYfDL,0.685,0.685,-8.103,0.0254,0.0,0.201
ABBA,ABBA Gold,"Money, Money, Money",29FNeqjOV2kPWGS55qhtGB,0.756,0.741,-6.426,0.0364,0.00113,0.0807
ABBA,ABBA Gold,I Have A Dream,5Ywni2cDKsHSKbburrGFgL,0.53,0.477,-8.954,0.0244,0.0,0.193
ABBA,ABBA Gold,SOS,5pMmWfuL0FTGshYt7HVJ8P,0.393,0.719,-4.773,0.0279,0.00432,0.219
ABBA,ABBA Gold,Chiquitita,2v9dMIXI3aEzwv56Gd89yf,0.503,0.629,-6.308,0.0314,2.06e-06,0.263
ABBA,Abba Gold Anniversary Edition,"Honey, Honey",7fBC5hsVNcPWvyifsaxhrP,0.431,0.841,-6.392,0.0515,0.0,0.421
ABBA,Abba,"I Do, I Do, I Do, I Do, I Do",0x5BKBAcia1th7UzcoHnD1,0.461,0.806,-4.257,0.0355,0.0163,0.348
